Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
阿笨猫,阿笨猫,中央电视台曾经播放了26集动画片《阿笨猫》，受到了广大观众的广泛关注与喜爱，阿笨猫已成为家喻户晓的卡通形象，在网上用“阿笨猫”来命名的人不计其数。《阿笨猫全传》是作者在动画片《阿笨猫》脚本的基础上重新撰写而成并首次由接力出版社推出，由“阿笨猫与外星小贩”、“阿笨猫与气功大师”、“阿笨猫与发明家”三部分组成。该书想象奇特，故事诙谐，情节一波三折，人物栩栩如生，幻想色彩浓郁，读来令人捧腹。作者以幻想的人物和故事映照现实，亦真亦幻，给人以生活的启迪和人生的思考。
Athena,雅典娜,雅典娜（希腊语：Ἀθήνη、英语：Athena），也称帕拉斯·雅典娜，是古希腊神话中的智慧女神，奥林匹斯十二主神之一。 同时也是艺术女神、纺纱工艺的女神。密教祷歌称她为“创始艺术的”。她传授纺织、园艺、陶艺、畜牧等技艺，绘画、雕塑、音乐等艺术给人类。 她亦是军事策略的女神。航海、农业、医疗的保护神。法庭、秩序的女神，她创立人类的第一座法庭。 雅典娜与赫斯提亚、阿尔忒弥斯被视为奥林匹斯山上的三位一体处女神。初民最早把她作为霁色初开的境界崇拜，代表处女和纯洁的光明。 雅典娜是宙斯和智慧女神墨提斯（“Μῆτις”意为智慧的，睿智的）的女儿，她是波洛斯的同母姊妹。盖亚和乌拉诺斯预言，墨提斯生下明眸女儿后，会再生一个推翻宙斯的儿子（波洛斯），宙斯惧怕预言成真，遂将墨提斯整个吞入腹中。此后宙斯严重头痛，阿波罗对他医治无效，宙斯只好要求火神赫菲斯托斯打开他的头颅（或普罗米修斯或赫尔墨斯），火神那样做了。令诸神惊讶的是：一位体态婀娜、披坚执锐的美丽女神从裂开的头颅中跳了出来，光彩照人，仪态万方。 
RG,錀,錀（钅仑）是一种人工合成的放射性化学元素，它的化学符号是Rg，原子序数是111，属于过渡金属之一。Rg属于超重元素、超铀元素、超锕元素。现时所发现的唯一一种同位素的半衰期约15毫秒，之后衰变成为第109号元素。第111号元素系过渡金属11族的成员，所以其化学性质预计和金、银、铜等11族金属类似，会是白色或灰白色的固体金属。
布纸饰美,布纸饰美,布纸饰美是上海齐惠橡塑材料有限公司旗下墙纸品牌，中国墙纸行业新起品牌。
雷龙,迷惑龙,迷惑龙，梁龙科迷惑龙属，包括埃阿斯迷惑龙（A.ajax）和路氏迷惑龙（A.louisae）。 重量达30吨，据阿根廷新发现的恐龙大腿骨头，身高为4-5.5米高，身长为35米左右。这只恐龙比此前发现的最大生物还要重1.55万磅（约7吨）。不过迷惑龙是较温和的食草动物。而它身体后半部比肩部高，但当它以后脚跟支撑而站立起来，可谓高耸入云。它可能生活在平原与森林中，并可能成群结队而行。迷惑龙曾经一度和雷龙混为一谈，现已证明它们其实是两种不同的恐龙。
SIMELO,SIMELO,SIMELO是专业从事时尚高品味厨具、不锈钢器皿、不锈钢真空保温容器等餐厨用品的品牌。18世纪初叶，德国的不锈钢锅具厨具产品开始趋向品牌化发展，并越来越为世界所知。两个世纪后，吸收了德国工艺和严谨作风的SIMELO品牌在中国诞生。
花椰菜,花椰菜,花椰菜，又称花菜、菜花或椰菜花，花椰菜为十字花科芸苔属一年生植物，又名花菜、椰花菜、甘蓝花、洋花菜、球花甘蓝。原产于地中海东部海岸，约在19世纪初清光绪年间引进中国。花椰菜，是一种很受人们欢迎的蔬菜，味道鲜美，营养也很高，还有很高的药用价值。维生素C含量非常丰富，还具有抗癌功效，平均营养价值及防病作用远远超出其他蔬菜。
CYP,CYP,CYP（CYPREOSFRANCEEPONGES）是法国天然海绵专业公司。法国在海洋可再生能源领域处于世界领先地位，国家科学研究院马赛海洋研究中心THIERRYPEREZ教授表示，对海洋里的天然海绵的开发是对生物资源的开采利用在海洋里生活了近50%的生物超过6500种天然分子被海洋有机体分离天然海绵占三分之一它们正处于医疗实验阶段将制成药品。
桑达,桑达,2011年第2号超强台风“桑达”，国际编号为1102，英文名Songda。该名字来源于越南，意思是越南西北部一河流。
哲品家居,哲品家居,哲品(ZENS)即，广州哲品家居用品有限公司，公司创立于2009年致力于提供“最具东方生活智慧的”全套家具生活解决方案。目前旗下产品涵盖厨房用品、饮食用具和卫浴产品。
邦成,邦成,邦成集团1956年创始于德国。2008年初，亚太总部正式入驻中国香港。58年潜心打造，邦成集团用实际行动完美诠释了邦成理念：超越、创新、凝聚、进步。把握时代核心精神，引领行业方向潮流，开创现代生活品质，以诚信和卓越打造厨卫家电，敢于构想，缜于思量，更精于工艺。邦成，竭尽全力为人们提供最好的厨卫技术，让厨卫生活成为一种品质享受。 
宏博,宏博,湖北宏博食品有限公司，中国最大的蛋产品加工企业，年生产、销售各类蛋品数千万元，是中国目前品种最全、销售最广的禽蛋研发加工基地。湖北宏博食品有限公司以“服务三农，健康生活”为宗旨，以推动中国健康绿色食品发展为己任，率先在中国引入发达国家“无铅蛋”概念，并予以全面实施。陆逊湖无铅蛋五大标准：家禽生长环境无污染、绿色饲料喂养、无铅工艺制作、蛋品安全可追溯、含更多生物营养素。“湖广熟，天下足”。物华天宝，人杰地灵的湖北，蕴藏着极为丰富的水产资源和优质的蛋禽资源，具有悠久的家禽养殖历史。陆逊湖依托“千湖之省”的资源优势，自建有陆逊湖生态养殖园，在江汉平原和洞庭湖区建有1000多万只蛋鸭养殖基地；养殖场获良好农业示范GAP一级认证。并专门配套建立了农腾饲料生产基地，使蛋品安全从源头上得到保证
HABA,HABA,HABA是“HealthAidBeautyAid”的缩写，意为健康与美丽的好帮手。HABA以“追求真正的美丽”，唤醒肌肤与生俱来自然治愈力，只给肌肤补充绝不超过最低限度的所需，绝对不添加刺激或损害肌肤的成分为经营理念。
南林,南京林业大学,南京林业大学（NanjingForestryUniversity）简称“南林”，位于江苏南京，是一所由国家林业局和江苏省人民政府共建的省属重点大学，是国家首批“双一流”世界一流学科建设高校，入选国家首批“卓越农林人才教育培养计划”、“特色重点学科项目”、江苏省“2011协同创新中心”、江苏省“卓越工程师教育培养计划”，为江苏省十五所重点建设大学成员，已成为一所以林科为特色，以资源、生态和环境类学科为优势，拥有理、工、农、文、管、经、哲、法、艺等学科的多科性大学。林学、林业工程、风景园林学等三个学科在教育部第三轮学科评估中排名全国前五。学校前身为中央大学（创建于1902年）森林系和金陵大学（创建于1910年）森林系，1952年合并组建的南京林学院，是当时全国仅有的三所高等林业院校之一。1955年华中农学院林学系（武汉大学、南昌大学和湖北农学院森林系合并组成）并入，1972年更名为南京林产工业学院，1983年恢复南京林学院名称，1985年更名为南京林业大学。截至2015年12月，学校占地面积10295亩，教学科研仪器设备总值3.28亿元，图书馆纸质文献总量为150万册；设有22个学院（部），开办本科专业72个，有8个博士后流动站、7个一级学科博士学位授权点、22个一级学科硕士学位授权点；拥有国家级特色专业建设点6个，省级品牌特色专业16个；有专任教师1200余人，各类全日制在校学生3万余人，其中博士与硕士研究生、外国留学生4500余人。 2017年9月，入围一流学科建设高校名单。 
XQ,XQ,XQ，全称X-QUEST，王者荣耀职业战队。
魔豆,魔豆,魔豆（MODO）是一种称呼，魔豆是时下对活跃于淘宝等电子商务网站上的网拍模特的一种称呼，英文名为MODO，最早来源于缘起搭配秀！比麻豆更好听，更加贴切，如魔术般，平常的衣服在这些最具时尚眼光的模特们的搭配和展示下，变得更加具有吸引力，从而能提高服装的附加值，提高销量。很多MODO经常为商家拍摄服装，在网络上频频出现，一些MODO甚至产生了明星的效应，只要是MODO拍摄的服装，在网上必将受到人们的追捧，争相购买他们展示的服装，模仿他们的搭配。
哥伦布,克里斯托弗·哥伦布,克里斯托弗·哥伦布（西班牙语：CristóbalColón；意大利语：CristoforoColombo），1450/1451年秋天－1506年5月20日），探险家、殖民者、航海家，出生于中世纪的热那亚共和国（今意大利西北部）。当时背景是西方帝国主义抬头，各欧洲王国开始经济竞赛，纷纷通过建立贸易航线和殖民地来扩充财富。哥伦布的向西航行到达东印度群岛的冒险性计划得到西班牙王室的支持。在哥伦布1492年的第一次航行中，他在巴哈马群岛的一个他叫做“圣萨尔瓦多”的地方登陆，而不是计划中的日本。在后来的三次航行中，哥伦布到达过大安的列斯群岛、小安的列斯群岛、加勒比海岸的委内瑞拉、以及中美洲，并宣布它们为西班牙帝国的领地。尽管哥伦布不是第一个到达美洲的欧洲探险家（第一个到达美洲的欧洲探险家是莱夫·埃里克松），但哥伦布的航海带了第一次欧洲与美洲的持续的接触，并且开辟了后来延续几个世纪的欧洲探险和殖民海外领地 的大时代。这些对现代西方世界的历史发展有着无可估量的影响。
云蕾,云蕾,云蕾，梁羽生武侠小说《萍踪侠影录》女主角，云靖孙女，云澄之女。云蕾十六、七岁的年纪初初出道时就创下了「散花女侠」的美誉。蝴蝶谷的桃花林中，头上两个丫角微微晃动的天真少女，穿花绕树，白衣戏蝶，既清且艳，雅丽如仙。带着满身的纯净明丽，似早春的一阵清风瞬间温润了读者的心田。太湖飘渺。云蕾湖衣踏水，素手弄笛，侠气长歌，飘飘若仙而来，瞬间惊倒了在场所有的人。天赋红颜。云蕾身怀绝技，擅长剑术、轻功和「梅花蝴蝶镖」暗器，故江湖美名曰「散花女侠」。她与张丹枫「双剑合璧」，无敌于天下。纯洁而善良，温柔而坚韧。祖辈的仇恨仍然不能阻止她和张丹枫这对情侣在武侠中经典到非圆满不可的完美爱情。
卫宁,卫宁,卫宁；播音主持，女，汉族，中共党员，北京人。毕业于中国政法大学国际经济法专业。
博凯,博凯,几内亚西北部新兴矿业城市，博凯省首府。在廷吉林塔河左岸，东南距科纳克里160公里。
名爵,MG,MG（名爵）全称MorrisGarages，成立于1924年是一个源自英国的汽车品牌，公司以生产著名的MG系列敞篷跑车而闻名，MG跑车向来以独特的设计、做工精细和性能优良而著称MG之父是威廉·莫里斯，这个靠4英磅起家的英国伍斯特的自行车修理工，在1910年建立了莫里斯车库（MorrisGarages），简称MG。十年后，他从汽车经销改为制造和研发。1920年第一辆莫里斯汽车在小镇考利被制造出来。至此MG走上了辉煌的汽车研发之路。威廉·莫里斯执着于自己的汽车工业家的梦想，一生致力于汽车和慈善事业，曾经被授予诺非尔德勋爵称号。
