Hodo,HODO,《HODO》是一款Android平台的应用。
解氏,解姓,解姓位于百家姓之一，最早源出于姬姓。解姓在宋版百家姓中排在174位。上古周朝时期周武王有个儿子叫作唐叔虞的，是周成王的弟弟，他的儿子中有一个叫良的受封于解地（今山西解县），称为解良。解良的后代在解地世代定居，以地名解为氏。有：《解姓渊源》。源流一源于姬姓，出自周武王之孙解良的封地，属于以封邑名称为氏。西周初期，周武王姬发的儿子唐叔虞之子姬良受封于解邑，姬良此后生活采食于解邑（今山西运城盐湖区解hài州镇），古称“河东解邑”。据史籍《万姓统谱》、《通志·氏族略》等记载，解氏出于姬姓，历史悠久，可追溯到中华民族始祖轩辕黄帝。在解良的后裔子孙及族人中，多以先祖封邑名称为姓氏，称解氏，史称山西宗解，为解氏正宗。源流二源于鲜卑族，出自南北朝时期鲜卑拓拔部，属于汉化改姓为氏。南北朝时期，鲜卑拓拔部中有解毗氏（解枇氏）部落。在北魏孝文帝拓拔·宏（元宏）于太和十七～二十年（公元493～496年）迁都洛阳入主中原后，大力推行汉化改革政策，在这个历史过程中，解毗氏被改为汉字单姓解氏，逐渐融入汉族，世代相传至今，亦为河南解氏的主体之一。源流三源于满族，属于汉化改姓为氏。据史籍《清朝通志·氏族略·满洲八旗姓》记载：⑴.满族乌拉氏，亦称吴拉氏、乌喇氏，满语为UlaHala，汉义“江”，世居郑家堡（今吉林双辽郑家屯）、乌拉街（今吉林永吉乌拉街至辉发河口、拉发河流域、双阳县境）、黑龙江两岸等地，后多冠汉姓为解氏、吴氏等。异体字：觧
MOYA,moya,《MOYA》是“AOA”的第三张单曲专辑，由AOA乐团小分队AOABlack演唱的歌曲，于2013年7月26日发行，歌曲由雷鬼节奏与东方旋律相结合，申智珉参与了Rap创作。 
多拉美,多拉美,多拉美创立于2002年，是专业从事品牌家居服研发、设计、生产和营销为一体的企业。
IEF,国际数字娱乐嘉年华,国际数字娱乐嘉年华（InternationalE-CultureFestival ，IEF）是全球首个由多个国家政府共同发起的、跨国界的数字娱乐盛会，是全球唯一的数字娱乐与数字体育综合赛事品牌。2017年，IEF迎来全面升级，将打造全球电竞界的”世俱杯“，全面接轨国际，并大幅提升赛事规模、赛事奖金和参赛选手含金量。 设置《英雄联盟》、《炉石传说》、《守望先锋》、《魔兽争霸3》、《FIFAOnline3》和《街头霸王5》六大比赛项目 ，共48支顶级战队、选手参赛。 
伯曼,伯曼,《伯曼》是一款IOS平台的应用。
敏慧,敏慧,敏慧，汉语词语，读音mǐnhuì，意思指聪明。
super.natural,super.natural,super.natural是灵感源于加州、设计来自欧洲的城市运动时尚品牌，倡导健康、自然、积极的生活方式，秉承舒适、功能、风尚完美平衡的设计理念。
食草堂,食草堂,“食草堂”是一家商铺的名字，由牛合印先生创建。不是食品店铺，主要经营范围是日常用品，皮具品，生活用品等。食草堂文化饰品有限公司成立于1997年，负责品牌推广以及全国的销售网络的搭建和服务。
JOSIMS,JOSIMS,塑身淑女牛仔裤的代名词。JOSIMS是专注专精专业设计韩版功能女性牛仔裤的韩流品牌。
圣地哥,圣地哥,圣地哥是一家服装品牌公司。
SHE says,SHE SAYS,《SHESAYS》是新加坡歌手林俊杰在2010年发行的专辑《她说》中的一首歌曲。
爱央央,爱央央,
Ilys,ILYS,ILYS是南昌泽林实业有限公司旗下品牌 
naivee,naivee,NAIVEE，法国女性手袋品牌，主营女性箱包，女性马具，女性饰品。 
Wacoal,Wacoal,Wacoal华歌尔，是一家以内衣为主的成衣制造商。Wacoal于1949年在日本成立后发展至今，已成为生产女装全线产品的翘楚；此外，CWX运动装、童装、男装、长者服装亦不断拓展。旗下包括女内衣，睡衣，家居服，孕妇装，哺乳服，儿童服装，少女家居服等数个系列。
芳婷,芳婷,玛戈·芳婷M（MargotFonteyn1919～1991），1919年5月18日生于英国萨里郡。1956年获“女爵士”称号，是英国皇家舞蹈学院名誉院长。
JORYA,jorya,JORYA品牌，始创于1992年。JORYA对女人有着独特的见解，以专业的设计和产品理念，让女性优雅性感的魅力全面绽放。其系列产品分为JORYA服饰、costume高级定制、礼服及配饰。
CCR,CCR,CCR(Centralcontrolroom)中央控制室，是工厂中对厂内所有设备、工作区域进行整体监控的场所，即所有的现场信号通过环网、控制总线等方式于中控室汇集，可在此对厂内设备的运行信息进行监控。厂内所有设备的报警信号在此汇总，若发生设备运转异常，中控室可以及时获知。另外也是连铸连轧工艺、克里登斯清水复兴合唱团、命令与征服：逆判者（变节者）、柯尼赛格、条件码寄存器等的英文缩写。
笙歌曼舞,笙歌曼舞,
NEYO,尼欧,尼欧（Ne-Yo），原名谢弗·沙美尔·史密斯（ShafferChimereSmith），1979年10月18日出生于美国阿肯色州卡姆登，美国创作型歌手、舞者、演员，毕业于拉斯维加斯艺术学院 。2005年，发行首支个人单曲《Stay》 。2006年2月，发行首张录音室专辑《InMyOwnWords》，该在专辑登上了公告牌专辑榜的榜首 。2006年3月，单曲《SoSick》成为公告牌单曲榜的冠军 。2008年2月，凭借专辑《BecauseofYou》获得第50届格莱美奖“最佳当代R&B专辑”奖项 。2009年2月，在第51届格莱美奖中获得“最佳R&B歌曲”和“最佳R&B男歌手”奖项 。2011年，获第37届人民选择奖“最受欢迎R&B歌手”奖 。2015年9月，在奥巴马举行的白宫国宴上献唱 。2017年9月，联手张靓颖献唱《猩球崛起3：终极之战》中国区推广曲《AngelsandHarmony》 。
OL,OL,OL是英文“OfficeLady”的缩写，中文解释为“白领女性”或者“办公室女职员”，通常指高学历、高压力、高收入的职业女性，OL打扮衣着入时，且具备一定办事能力，美丽与智慧兼备。
洛河,南洛河,洛河，古称雒水，黄河右岸重要支流。因河南境内的伊河为重要支流，亦称伊洛河，即上古时期河洛地区的洛水。南洛河为洛河在水文上的名称。源出陕西省渭南市华州区西南与蓝田县、临渭区交界的箭峪岭侧木岔沟，流经陕西省东南部及河南省西北部，在河南省巩义市注入黄河。河道全长447公里，陕西境内河长129.8公里，河南境长366公里。流域总面积18881平方公里。洛河水利开发历史悠久。特别是河南省境内，《水经注·谷水注》称，西周时洛阳附近，已修有汤渠。唐代曾引伊、洛水灌溉地势较高的农田，是形成古代经济文化中心的重要地理条件。以后历代都有增建，特别是建国后，形成了以伊河陆浑灌区、伊东灌区、洛宁县引洛灌区、宜阳引洛灌区等分布广泛在完善灌溉体系。对当地经济社会发展作用很大。洛河在中华文明的发展中占有重要地位，与黄河交汇为中心的地区被称为“河洛地区”，是华夏文明发祥地，河洛文化被称为中华民族的根文化。 
三文治,三文治,三文治，是一种典型的西方食品，以两片面包夹几片肉和奶酪、各种调料制作而成，吃法简便，广泛流行于西方各国。三文治的叫法流行与广东、广西以及港澳，即英文Sandwich的音译。其他地方称为三明治。
时光情缘,时光情缘,《时光情缘》是大狼狗monk创作的网络小说，发表于17K小说网。
Love Goddess,Love Goddess,
润微,润微,润微是内衣品牌。 
关诗敏,关诗敏,关诗敏（SharonKwan），1995年10月12日出生于美国，美籍华人，华语流行乐女歌手，毕业于美国网络高中。2011年，参加台湾电视选秀节目《华人星光大道》的比赛，并最终获得总决赛冠军 。2012年，推出首张个人音乐专辑《关在家》 。2013年1月，获得“蒙牛绿色心情中国TOP排行榜”港台最受欢迎新人提名；同年，出演个人首部电视剧《飞越新龙门客栈》 。2014年，参加江苏卫视《花样年华2》节目 。2015年，参加浙江卫视《中国好声音第四季》的比赛，获得周杰伦组四强、全国16强 。2016年，推出第二张个人音乐专辑《绽放2.0》 。
萨缇尼,萨缇尼,萨缇尼GARTINE ，上海品呈实业有限公司旗下男装品牌，品牌创立于2007年，创始人田伟。
金贝勒,金贝勒,金贝勒是迪尔纳体育用品有限公司旗下品牌，迪尔纳体育用品有限公司成立于1998年，位于泉州洛江马甲镇，经过十几年的努力，缔造了属于中国青年一代自己的品牌——金贝勒休闲运动品牌。迪尔纳体育用品有限公司十多年来，坚持“尊重人才，共同创业，诚实守信，持续发展”的经营理念，经过不懈的努力，已发展成为国内最优秀的集生产制造与营销导向于一体综合性体育休闲用品企业之一。
法派,法派,法派集团始创于1997年9月，以意大利法派服饰有限公司为桥头堡，历经五年的发展，分别投资组建香港法派国际集团、中国法派服饰企业有限公司、上海法派服饰有限公司、北京法派服饰有限公司、深圳法派服饰有限公司、法派服饰设计研究所、温州法派实业有限公司、温州法派经贸有限公司、温州法派鞋业有限公司。
谷娜,谷娜,谷娜（原名李谷娜)少时师从上海画院庞左玉等名家教授，毕业于上海戏剧学院舞台美术系，是一名专职画家。谷娜是中国戏剧家协会会员、中国舞台美术学会会员、中国宗教学会会员、北京硬笔书法学会会员、中国老年书画研究会上海分会会员。
iwill,iwill,iwill是全球著名苹果周边产品品牌。目前在美国、法国、英国、日本等30多个国家建有销售网络，据2010年销售数据统计，平均每27秒钟就有一个iwill售出，可见其在世界各地苹果迷心目中受欢迎程度。多年来，iwill以自己与时俱进的思维，独特的创意引领着潮流，丰富着全球苹果迷们的苹果生活。
BRAUN,BRAUN,布劳恩1850年6月6日出生于德国的富尔达（Fulda）。他在此地接受了地方普通中学的教育。他曾在马尔堡大学、柏林大学学习过，1872年毕业，他的毕业论文是关于弹性弦的振动。后来他在维尔茨堡大学担任过昆开（Quincke）教授的助手，1874年受聘到莱比锡的圣托马斯中学任教。两年后他受聘为马尔堡大学的理论物理学编外教授，1880年又被聘请到斯特拉斯堡大学担任同样的职务。1883年布劳恩成了卡尔斯鲁厄（Karlsruhe）工业大学的物理学教授，并于1885年受聘到杜宾根大学任教。他到这里的任务之一是建立一所新的物理研究所。他没有接受莱比锡大学的邀请去继承魏德曼的职务，而是在10年后于1895年又返回斯特拉斯堡担任物理研究所主任。
红柳,红柳,红柳（拉丁文名：Tamarixramosissima），又名柽柳，多枝柽柳。柽柳科、柽柳属植物，灌木或小乔木，老杆老枝树皮暗灰色，当年生木质化的生长枝淡红或橙黄色，长而直伸，次年生枝则颜色渐变淡。生长分布：我国新疆、甘肃、内蒙古、河南；在国外分布于阿富汗、伊朗、土耳其、蒙古、前苏联及欧洲东部。红柳当前除饲用外，主要用于营造农田防护林、绿化林、固沙林。
异姿,异姿,异姿是一个汉语词语，拼音是yìzī，释义：1、.美好的姿容、仪态。2、是指不同的姿态、形状。3、特出的才华。
叶衣,叶衣,《叶衣》是玉面弧写的网络小说连载于晋江文学城。
Skap,SKAP,SKAP是龙浩旗下著名产品，现已拥有男装、女装、精品等系列，产品涵盖男女皮鞋皮具、商务艺术精品等，SKAP基于人体工程学原理，将传统工艺与现代科技相结合，其独有的轻、畅、纯、护、缓、正、疗、导等科技功能已形成制作工艺体系，销售网络已覆盖全国150个城市。SKAP代表了现代人文理念的升华，提倡从奢华回归自然的同时，也和现代城市精英的生活模式紧紧相扣。
